;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Censo Nacional de Población y Vivienda - CNPV 2018;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
PERSONAS (Demográfico);;;;;;;;;;;;;;;;;;;;
Población total censada, por sexo e índices de masculinidad y feminidad, según departamentos, áreas (Total, Cabecera y Centros poblados y Rural disperso) y grupos de edad ;;;;;;;;;;;;;;;;;;;;
Cuadro 1PD Departamental ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
2018;;;;;;;;;;;;;;;;;;;;
Grupos de edad, departamento y Áreas  (Total, Cabecera y Centros poblados y Rural disperso) ;;;Total;Sexo;;Índice de  Masculinidad;Índice de Feminidad;;;;;;;;;;;;;
;;;;Hombre;Mujer;;;;;;;;;;;;;;;
;;0 a 4;25.242;13.042;12.200;106,9;93,5;;;;;;;;;;;;;
;;5 a 9;29.879;15.470;14.409;107,4;93,1;;;;;;;;;;;;;
;;10 a 14;34.233;18.030;16.203;111,3;89,9;;;;;;;;;;;;;
;;15 a 19;34.366;18.763;15.603;120,3;83,2;;;;;;;;;;;;;
;;20 a 24;28.053;15.550;12.503;124,4;80,4;;;;;;;;;;;;;
;;25 a 29;25.456;13.807;11.649;118,5;84,4;;;;;;;;;;;;;
;;30 a 34;25.150;13.464;11.686;115,2;86,8;;;;;;;;;;;;;
;;35 a 39;26.065;14.120;11.945;118,2;84,6;;;;;;;;;;;;;
;;40 a 44;24.905;13.639;11.266;121,1;82,6;;;;;;;;;;;;;
;;45 a 49;25.121;13.638;11.483;118,8;84,2;;;;;;;;;;;;;
;;50 a 54;24.047;13.292;10.755;123,6;80,9;;;;;;;;;;;;;
;;55 a 59;20.763;11.322;9.441;119,9;83,4;;;;;;;;;;;;;
;;60 a 64;17.061;9.385;7.676;122,3;81,8;;;;;;;;;;;;;
;;65 a 69;14.254;7.915;6.339;124,9;80,1;;;;;;;;;;;;;
;;70 a 74;10.716;5.729;4.987;114,9;87,0;;;;;;;;;;;;;
;;75 a 79;7.653;4.046;3.607;112,2;89,1;;;;;;;;;;;;;
;;80 a 84;4.674;2.333;2.341;99,7;100,3;;;;;;;;;;;;;
;;85 y más;3.478;1.615;1.863;86,7;115,4;;;;;;;;;;;;;
70_Sucre;Total;Total;864.036;434.459;429.577;101,1;98,9;;;;;;;;;;;;;
;;0 a 4;70.367;35.943;34.424;104,4;95,8;;;;;;;;;;;;;
;;5 a 9;78.713;40.412;38.301;105,5;94,8;;;;;;;;;;;;;
;;10 a 14;82.230;42.274;39.956;105,8;94,5;;;;;;;;;;;;;
;;15 a 19;81.051;42.164;38.887;108,4;92,2;;;;;;;;;;;;;
;;20 a 24;72.803;37.157;35.646;104,2;95,9;;;;;;;;;;;;;
;;25 a 29;67.076;33.398;33.678;99,2;100,8;;;;;;;;;;;;;
;;30 a 34;59.905;29.477;30.428;96,9;103,2;;;;;;;;;;;;;
;;35 a 39;57.409;28.169;29.240;96,3;103,8;;;;;;;;;;;;;
;;40 a 44;50.786;25.052;25.734;97,3;102,7;;;;;;;;;;;;;
;;45 a 49;50.027;24.671;25.356;97,3;102,8;;;;;;;;;;;;;
;;50 a 54;47.000;23.576;23.424;100,6;99,4;;;;;;;;;;;;;
;;55 a 59;39.722;19.797;19.925;99,4;100,6;;;;;;;;;;;;;
;;60 a 64;31.544;15.577;15.967;97,6;102,5;;;;;;;;;;;;;
;;65 a 69;25.920;12.811;13.109;97,7;102,3;;;;;;;;;;;;;
;;70 a 74;18.712;9.364;9.348;100,2;99,8;;;;;;;;;;;;;
