;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Censo Nacional de Población y Vivienda - CNPV 2018;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
PERSONAS (Demográfico);;;;;;;;;;;;;;;;;;;;
Población total censada, por sexo e índices de masculinidad y feminidad, según departamentos, áreas (Total, Cabecera y Centros poblados y Rural disperso) y grupos de edad ;;;;;;;;;;;;;;;;;;;;
Cuadro 1PD Departamental ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
2018;;;;;;;;;;;;;;;;;;;;
Grupos de edad, departamento y Áreas  (Total, Cabecera y Centros poblados y Rural disperso) ;;;Total;Sexo;;Índice de  Masculinidad;Índice de Feminidad;;;;;;;;;;;;;
;;;;Hombre;Mujer;;;;;;;;;;;;;;;
;;70 a 74;55;32;23;139,1;71,9;;;;;;;;;;;;;
;;75 a 79;35;22;13;169,2;59,1;;;;;;;;;;;;;
;;80 a 84;16;8;8;100,0;100,0;;;;;;;;;;;;;
;;85 y más;11;6;5;120,0;83,3;;;;;;;;;;;;;
;Rural disperso;Total;24.641;14.657;9.984;146,8;68,1;;;;;;;;;;;;;
;;0 a 4;1.658;874;784;111,5;89,7;;;;;;;;;;;;;
;;5 a 9;2.765;1.430;1.335;107,1;93,4;;;;;;;;;;;;;
;;10 a 14;3.175;1.644;1.531;107,4;93,1;;;;;;;;;;;;;
;;15 a 19;3.030;1.879;1.151;163,2;61,3;;;;;;;;;;;;;
;;20 a 24;2.009;1.319;690;191,2;52,3;;;;;;;;;;;;;
;;25 a 29;1.411;820;591;138,7;72,1;;;;;;;;;;;;;
;;30 a 34;1.394;808;586;137,9;72,5;;;;;;;;;;;;;
;;35 a 39;1.361;786;575;136,7;73,2;;;;;;;;;;;;;
;;40 a 44;1.479;887;592;149,8;66,7;;;;;;;;;;;;;
;;45 a 49;1.489;906;583;155,4;64,3;;;;;;;;;;;;;
;;50 a 54;1.370;910;460;197,8;50,5;;;;;;;;;;;;;
;;55 a 59;1.211;813;398;204,3;49,0;;;;;;;;;;;;;
;;60 a 64;859;590;269;219,3;45,6;;;;;;;;;;;;;
;;65 a 69;606;417;189;220,6;45,3;;;;;;;;;;;;;
;;70 a 74;376;273;103;265,0;37,7;;;;;;;;;;;;;
;;75 a 79;251;174;77;226,0;44,3;;;;;;;;;;;;;
;;80 a 84;115;83;32;259,4;38,6;;;;;;;;;;;;;
;;85 y más;82;44;38;115,8;86,4;;;;;;;;;;;;;
97_Vaupés;Total;Total;37.690;19.793;17.897;110,6;90,4;;;;;;;;;;;;;
;;0 a 4;3.180;1.596;1.584;100,8;99,2;;;;;;;;;;;;;
;;5 a 9;6.880;3.441;3.439;100,1;99,9;;;;;;;;;;;;;
;;10 a 14;6.593;3.284;3.309;99,2;100,8;;;;;;;;;;;;;
;;15 a 19;5.085;2.776;2.309;120,2;83,2;;;;;;;;;;;;;
;;20 a 24;3.033;1.740;1.293;134,6;74,3;;;;;;;;;;;;;
;;25 a 29;2.220;1.185;1.035;114,5;87,3;;;;;;;;;;;;;
;;30 a 34;1.908;1.036;872;118,8;84,2;;;;;;;;;;;;;
;;35 a 39;1.664;905;759;119,2;83,9;;;;;;;;;;;;;
;;40 a 44;1.442;795;647;122,9;81,4;;;;;;;;;;;;;
;;45 a 49;1.327;737;590;124,9;80,1;;;;;;;;;;;;;
;;50 a 54;1.131;599;532;112,6;88,8;;;;;;;;;;;;;
;;55 a 59;1.034;561;473;118,6;84,3;;;;;;;;;;;;;
;;60 a 64;762;408;354;115,3;86,8;;;;;;;;;;;;;
;;65 a 69;573;322;251;128,3;78,0;;;;;;;;;;;;;
;;70 a 74;335;172;163;105,5;94,8;;;;;;;;;;;;;
;;75 a 79;279;134;145;92,4;108,2;;;;;;;;;;;;;
;;80 a 84;165;70;95;73,7;135,7;;;;;;;;;;;;;
;;85 y más;79;32;47;68,1;146,9;;;;;;;;;;;;;
;Cabecera;Total;11.556;5.987;5.569;107,5;93,0;;;;;;;;;;;;;
;;0 a 4;738;385;353;109,1;91,7;;;;;;;;;;;;;
;;5 a 9;1.718;862;856;100,7;99,3;;;;;;;;;;;;;
;;10 a 14;1.660;816;844;96,7;103,4;;;;;;;;;;;;;
;;15 a 19;1.689;927;762;121,7;82,2;;;;;;;;;;;;;
;;20 a 24;1.094;620;474;130,8;76,5;;;;;;;;;;;;;
;;25 a 29;790;391;399;98,0;102,0;;;;;;;;;;;;;
;;30 a 34;738;379;359;105,6;94,7;;;;;;;;;;;;;
;;35 a 39;567;305;262;116,4;85,9;;;;;;;;;;;;;
;;40 a 44;494;258;236;109,3;91,5;;;;;;;;;;;;;
;;45 a 49;470;232;238;97,5;102,6;;;;;;;;;;;;;
;;50 a 54;452;220;232;94,8;105,5;;;;;;;;;;;;;
;;55 a 59;391;203;188;108,0;92,6;;;;;;;;;;;;;
;;60 a 64;294;165;129;127,9;78,2;;;;;;;;;;;;;
;;65 a 69;188;98;90;108,9;91,8;;;;;;;;;;;;;
;;70 a 74;90;40;50;80,0;125,0;;;;;;;;;;;;;
;;75 a 79;88;41;47;87,2;114,6;;;;;;;;;;;;;
;;80 a 84;69;36;33;109,1;91,7;;;;;;;;;;;;;
;;85 y más;26;9;17;52,9;188,9;;;;;;;;;;;;;
;Centro Poblado;Total;1.476;818;658;124,3;80,4;;;;;;;;;;;;;
;;0 a 4;137;72;65;110,8;90,3;;;;;;;;;;;;;
;;5 a 9;213;116;97;119,6;83,6;;;;;;;;;;;;;
;;10 a 14;255;124;131;94,7;105,6;;;;;;;;;;;;;
;;15 a 19;195;103;92;112,0;89,3;;;;;;;;;;;;;
;;20 a 24;123;80;43;186,0;53,8;;;;;;;;;;;;;
;;25 a 29;101;66;35;188,6;53,0;;;;;;;;;;;;;
;;30 a 34;85;55;30;183,3;54,5;;;;;;;;;;;;;
;;35 a 39;60;38;22;172,7;57,9;;;;;;;;;;;;;
;;40 a 44;52;31;21;147,6;67,7;;;;;;;;;;;;;
;;45 a 49;63;34;29;117,2;85,3;;;;;;;;;;;;;
;;50 a 54;40;22;18;122,2;81,8;;;;;;;;;;;;;
;;55 a 59;49;23;26;88,5;113,0;;;;;;;;;;;;;
;;60 a 64;20;6;14;42,9;233,3;;;;;;;;;;;;;
;;65 a 69;28;19;9;211,1;47,4;;;;;;;;;;;;;
;;70 a 74;23;13;10;130,0;76,9;;;;;;;;;;;;;
;;75 a 79;18;8;10;80,0;125,0;;;;;;;;;;;;;
;;80 a 84;11;7;4;175,0;57,1;;;;;;;;;;;;;
;;85 y más;3;1;2;50,0;200,0;;;;;;;;;;;;;
;Rural disperso;Total;24.658;12.988;11.670;111,3;89,9;;;;;;;;;;;;;
;;0 a 4;2.305;1.139;1.166;97,7;102,4;;;;;;;;;;;;;
;;5 a 9;4.949;2.463;2.486;99,1;100,9;;;;;;;;;;;;;
;;10 a 14;4.678;2.344;2.334;100,4;99,6;;;;;;;;;;;;;
;;15 a 19;3.201;1.746;1.455;120,0;83,3;;;;;;;;;;;;;
;;20 a 24;1.816;1.040;776;134,0;74,6;;;;;;;;;;;;;
;;25 a 29;1.329;728;601;121,1;82,6;;;;;;;;;;;;;
;;30 a 34;1.085;602;483;124,6;80,2;;;;;;;;;;;;;
;;35 a 39;1.037;562;475;118,3;84,5;;;;;;;;;;;;;
;;40 a 44;896;506;390;129,7;77,1;;;;;;;;;;;;;
;;45 a 49;794;471;323;145,8;68,6;;;;;;;;;;;;;
;;50 a 54;639;357;282;126,6;79,0;;;;;;;;;;;;;
;;55 a 59;594;335;259;129,3;77,3;;;;;;;;;;;;;
;;60 a 64;448;237;211;112,3;89,0;;;;;;;;;;;;;
;;65 a 69;357;205;152;134,9;74,1;;;;;;;;;;;;;
;;70 a 74;222;119;103;115,5;86,6;;;;;;;;;;;;;
;;75 a 79;173;85;88;96,6;103,5;;;;;;;;;;;;;
;;80 a 84;85;27;58;46,6;214,8;;;;;;;;;;;;;
;;85 y más;50;22;28;78,6;127,3;;;;;;;;;;;;;
99_Vichada;Total;Total;76.642;40.694;35.948;113,2;88,3;;;;;;;;;;;;;
;;0 a 4;9.558;4.789;4.769;100,4;99,6;;;;;;;;;;;;;
;;5 a 9;9.883;5.042;4.841;104,2;96,0;;;;;;;;;;;;;
;;10 a 14;9.888;5.189;4.699;110,4;90,6;;;;;;;;;;;;;
;;15 a 19;9.211;5.014;4.197;119,5;83,7;;;;;;;;;;;;;
;;20 a 24;7.135;3.962;3.173;124,9;80,1;;;;;;;;;;;;;
;;25 a 29;5.705;2.957;2.748;107,6;92,9;;;;;;;;;;;;;
;;30 a 34;4.882;2.553;2.329;109,6;91,2;;;;;;;;;;;;;
;;35 a 39;4.386;2.322;2.064;112,5;88,9;;;;;;;;;;;;;
;;40 a 44;3.739;1.999;1.740;114,9;87,0;;;;;;;;;;;;;
;;45 a 49;3.130;1.706;1.424;119,8;83,5;;;;;;;;;;;;;
;;50 a 54;2.725;1.531;1.194;128,2;78,0;;;;;;;;;;;;;
;;55 a 59;2.185;1.242;943;131,7;75,9;;;;;;;;;;;;;
;;60 a 64;1.541;865;676;128,0;78,2;;;;;;;;;;;;;
;;65 a 69;1.087;592;495;119,6;83,6;;;;;;;;;;;;;
;;70 a 74;652;377;275;137,1;72,9;;;;;;;;;;;;;
;;75 a 79;452;270;182;148,4;67,4;;;;;;;;;;;;;
;;80 a 84;275;156;119;131,1;76,3;;;;;;;;;;;;;
;;85 y más;208;128;80;160,0;62,5;;;;;;;;;;;;;
;Cabecera;Total;24.555;12.725;11.830;107,6;93,0;;;;;;;;;;;;;
;;0 a 4;2.401;1.216;1.185;102,6;97,5;;;;;;;;;;;;;
;;5 a 9;2.390;1.239;1.151;107,6;92,9;;;;;;;;;;;;;
;;10 a 14;2.419;1.267;1.152;110,0;90,9;;;;;;;;;;;;;
;;15 a 19;2.607;1.421;1.186;119,8;83,5;;;;;;;;;;;;;
;;20 a 24;2.445;1.359;1.086;125,1;79,9;;;;;;;;;;;;;
;;25 a 29;2.130;1.066;1.064;100,2;99,8;;;;;;;;;;;;;
;;30 a 34;1.938;956;982;97,4;102,7;;;;;;;;;;;;;
;;35 a 39;1.827;926;901;102,8;97,3;;;;;;;;;;;;;
;;40 a 44;1.547;774;773;100,1;99,9;;;;;;;;;;;;;
;;45 a 49;1.205;622;583;106,7;93,7;;;;;;;;;;;;;
;;50 a 54;1.101;554;547;101,3;98,7;;;;;;;;;;;;;
;;55 a 59;851;436;415;105,1;95,2;;;;;;;;;;;;;
;;60 a 64;626;317;309;102,6;97,5;;;;;;;;;;;;;
;;65 a 69;433;206;227;90,7;110,2;;;;;;;;;;;;;
;;70 a 74;257;153;104;147,1;68,0;;;;;;;;;;;;;
;;75 a 79;177;101;76;132,9;75,2;;;;;;;;;;;;;
;;80 a 84;113;57;56;101,8;98,2;;;;;;;;;;;;;
;;85 y más;88;55;33;166,7;60,0;;;;;;;;;;;;;
;Centro Poblado;Total;3.077;1.627;1.450;112,2;89,1;;;;;;;;;;;;;
;;0 a 4;237;120;117;102,6;97,5;;;;;;;;;;;;;
;;5 a 9;431;201;230;87,4;114,4;;;;;;;;;;;;;
;;10 a 14;614;324;290;111,7;89,5;;;;;;;;;;;;;
;;15 a 19;525;286;239;119,7;83,6;;;;;;;;;;;;;
;;20 a 24;223;126;97;129,9;77,0;;;;;;;;;;;;;
;;25 a 29;164;78;86;90,7;110,3;;;;;;;;;;;;;
;;30 a 34;149;78;71;109,9;91,0;;;;;;;;;;;;;
;;35 a 39;134;68;66;103,0;97,1;;;;;;;;;;;;;
;;40 a 44;138;78;60;130,0;76,9;;;;;;;;;;;;;
;;45 a 49;122;69;53;130,2;76,8;;;;;;;;;;;;;
;;50 a 54;111;66;45;146,7;68,2;;;;;;;;;;;;;
;;55 a 59;63;40;23;173,9;57,5;;;;;;;;;;;;;
;;60 a 64;55;27;28;96,4;103,7;;;;;;;;;;;;;
;;65 a 69;42;22;20;110,0;90,9;;;;;;;;;;;;;
;;70 a 74;35;22;13;169,2;59,1;;;;;;;;;;;;;
;;75 a 79;17;11;6;183,3;54,5;;;;;;;;;;;;;
;;80 a 84;9;7;2;350,0;28,6;;;;;;;;;;;;;
;;85 y más;8;4;4;100,0;100,0;;;;;;;;;;;;;
;Rural disperso;Total;49.010;26.342;22.668;116,2;86,1;;;;;;;;;;;;;
;;0 a 4;6.920;3.453;3.467;99,6;100,4;;;;;;;;;;;;;
;;5 a 9;7.062;3.602;3.460;104,1;96,1;;;;;;;;;;;;;
;;10 a 14;6.855;3.598;3.257;110,5;90,5;;;;;;;;;;;;;
;;15 a 19;6.079;3.307;2.772;119,3;83,8;;;;;;;;;;;;;
;;20 a 24;4.467;2.477;1.990;124,5;80,3;;;;;;;;;;;;;
;;25 a 29;3.411;1.813;1.598;113,5;88,1;;;;;;;;;;;;;
;;30 a 34;2.795;1.519;1.276;119,0;84,0;;;;;;;;;;;;;
;;35 a 39;2.425;1.328;1.097;121,1;82,6;;;;;;;;;;;;;
;;40 a 44;2.054;1.147;907;126,5;79,1;;;;;;;;;;;;;
;;45 a 49;1.803;1.015;788;128,8;77,6;;;;;;;;;;;;;
;;50 a 54;1.513;911;602;151,3;66,1;;;;;;;;;;;;;
;;55 a 59;1.271;766;505;151,7;65,9;;;;;;;;;;;;;
;;60 a 64;860;521;339;153,7;65,1;;;;;;;;;;;;;
;;65 a 69;612;364;248;146,8;68,1;;;;;;;;;;;;;
;;70 a 74;360;202;158;127,8;78,2;;;;;;;;;;;;;
;;75 a 79;258;158;100;158,0;63,3;;;;;;;;;;;;;
;;80 a 84;153;92;61;150,8;66,3;;;;;;;;;;;;;
;;85 y más;112;69;43;160,5;62,3;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Fuente: DANE - Censo Nacional de Población y Vivienda 2018;;;;;;;;;;;;;;;;;;;;
