anio,codigo_depto,departamento,pib_const_2015_miles_mm
2016,25,CUNDINAMARCA,31170.15
2016,23,CÓRDOBA,6311.17
2016,94,GUAINÍA,134.24
2016,95,GUAVIARE,303.17
2016,41,HUILA,7590.03
2016,44,LA GUAJIRA,5506.25
2016,47,MAGDALENA,4943.07
2016,50,META,22240.30
2016,52,NARIÑO,6278.29
2016,54,NORTE DE SANTANDER,6656.89
2016,86,PUTUMAYO,2039.98
2016,63,QUINDÍO,3507.60
2016,66,RISARALDA,6559.27
2016,88,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",290.49
2016,68,SANTANDER,37418.06
2016,70,SUCRE,3086.55
2016,73,TOLIMA,10022.93
2016,76,VALLE DEL CAUCA,44872.67
2016,97,VAUPÉS,65.97
2016,99,VICHADA,281.26
2017,91,AMAZONAS,220.91
2017,05,ANTIOQUIA,69088.28
2017,81,ARAUCA,2956.62
2017,08,ATLÁNTICO,18288.47
2017,11,BOGOTÁ D.C.,109832.47
2017,13,BOLÍVAR,16778.59
2017,15,BOYACÁ,13055.38
2017,17,CALDAS,6801.71
2017,18,CAQUETÁ,1605.20
2017,85,CASANARE,9299.33
2017,19,CAUCA,8390.80
2017,20,CESAR,10651.39
2017,27,CHOCÓ,1800.59
2017,25,CUNDINAMARCA,31478.83
2017,23,CÓRDOBA,6315.35
2017,94,GUAINÍA,128.31
2017,95,GUAVIARE,311.42
2017,41,HUILA,7119.12
2017,44,LA GUAJIRA,5491.91
2017,47,MAGDALENA,4874.62
2017,50,META,21827.73
2017,52,NARIÑO,5839.29
2017,54,NORTE DE SANTANDER,6410.12
2017,86,PUTUMAYO,1970.34
2017,63,QUINDÍO,3565.22
2017,66,RISARALDA,6582.75
2017,88,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",293.10
2017,68,SANTANDER,37836.24
2017,70,SUCRE,3124.76
2017,73,TOLIMA,10177.82
2017,76,VALLE DEL CAUCA,45455.60
2017,97,VAUPÉS,65.21
2017,99,VICHADA,287.83
2018,91,AMAZONAS,226.74
2018,05,ANTIOQUIA,71450.36
2018,81,ARAUCA,3049.18
2018,08,ATLÁNTICO,18371.36
2018,11,BOGOTÁ D.C.,112816.49
2018,13,BOLÍVAR,16840.85
2018,15,BOYACÁ,13428.65
2018,17,CALDAS,6933.39
2018,18,CAQUETÁ,1611.15
2018,85,CASANARE,9553.59
2018,19,CAUCA,8475.95
2018,20,CESAR,10496.21
2018,27,CHOCÓ,1463.53
2018,25,CUNDINAMARCA,31999.32
2018,23,CÓRDOBA,6331.05
2018,94,GUAINÍA,131.25
2018,95,GUAVIARE,294.71
2018,41,HUILA,7126.09
2018,44,LA GUAJIRA,5361.56
2018,47,MAGDALENA,4907.18
2018,50,META,22012.91
2018,52,NARIÑO,5836.86
2018,54,NORTE DE SANTANDER,6600.10
2018,86,PUTUMAYO,1919.63
2018,63,QUINDÍO,3535.09
2018,66,RISARALDA,6719.83
2018,88,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",297.08
2018,68,SANTANDER,38093.83
2018,70,SUCRE,3135.49
2018,73,TOLIMA,10127.11
2018,76,VALLE DEL CAUCA,46987.77
2018,97,VAUPÉS,68.00
2018,99,VICHADA,293.42
2019,91,AMAZONAS,227.44
2019,05,ANTIOQUIA,73286.04
2019,81,ARAUCA,3279.27
2019,08,ATLÁNTICO,18493.34
2019,11,BOGOTÁ D.C.,115146.24
2019,13,BOLÍVAR,17385.13
2019,15,BOYACÁ,13536.54
2019,17,CALDAS,7040.02
2019,18,CAQUETÁ,1600.59
2019,85,CASANARE,9630.64
2019,19,CAUCA,8638.77
2019,20,CESAR,10832.31
2019,27,CHOCÓ,1526.80
2019,25,CUNDINAMARCA,32356.14
2019,23,CÓRDOBA,6546.86
2019,94,GUAINÍA,132.63
2019,95,GUAVIARE,295.81
2019,41,HUILA,7235.10
2019,44,LA GUAJIRA,5227.55
2019,47,MAGDALENA,4915.50
2019,50,META,23083.79
2019,52,NARIÑO,5960.48
2019,54,NORTE DE SANTANDER,6497.89
2019,86,PUTUMAYO,1762.10
2019,63,QUINDÍO,3570.53
2019,66,RISARALDA,6872.30
2019,88,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",303.79
2019,68,SANTANDER,38934.37
2019,70,SUCRE,3220.74
2019,73,TOLIMA,10245.84
2019,76,VALLE DEL CAUCA,48157.94
2019,97,VAUPÉS,69.09
2019,99,VICHADA,304.98
2020,91,AMAZONAS,224.38
2020,05,ANTIOQUIA,68084.14
2020,81,ARAUCA,3284.26
2020,08,ATLÁNTICO,15399.88
2020,11,BOGOTÁ D.C.,108776.95
2020,13,BOLÍVAR,15698.48
2020,15,BOYACÁ,12181.60
2020,17,CALDAS,6651.14
2020,18,CAQUETÁ,1524.41
2020,85,CASANARE,8593.41
2020,19,CAUCA,8048.39
2020,20,CESAR,8889.86
2020,27,CHOCÓ,1558.05
2020,25,CUNDINAMARCA,30029.62
2020,23,CÓRDOBA,6179.26
2020,94,GUAINÍA,113.04
2020,95,GUAVIARE,293.08
2020,41,HUILA,6900.36
2020,44,LA GUAJIRA,3455.90
2020,47,MAGDALENA,4682.30
2020,50,META,21068.39
2020,52,NARIÑO,5686.06
2020,54,NORTE DE SANTANDER,6080.07
2020,86,PUTUMAYO,1392.31
2020,63,QUINDÍO,3334.04
2020,66,RISARALDA,6503.37
2020,88,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",276.00
2020,68,SANTANDER,35004.64
2020,70,SUCRE,3025.91
2020,73,TOLIMA,9536.01
2020,76,VALLE DEL CAUCA,46127.59
2020,97,VAUPÉS,64.79
2020,99,VICHADA,290.64
2021,91,AMAZONAS,235.90
2021,05,ANTIOQUIA,75723.72
2021,81,ARAUCA,3319.72
2021,08,ATLÁNTICO,18823.29
2021,11,BOGOTÁ D.C.,117809.92
2021,13,BOLÍVAR,17503.89
2021,15,BOYACÁ,12661.93
2021,17,CALDAS,7171.22
2021,18,CAQUETÁ,1586.21
2021,85,CASANARE,8413.94
2021,19,CAUCA,8656.11
2021,20,CESAR,8674.77
2021,27,CHOCÓ,1619.13
2021,25,CUNDINAMARCA,32801.77
2021,23,CÓRDOBA,6699.75
2021,94,GUAINÍA,129.42
2021,95,GUAVIARE,305.17
2021,41,HUILA,7237.42
2021,44,LA GUAJIRA,4841.59
2021,47,MAGDALENA,5002.40
2021,50,META,20542.08
2021,52,NARIÑO,5921.20
2021,54,NORTE DE SANTANDER,6411.49
2021,86,PUTUMAYO,1485.76
2021,63,QUINDÍO,3566.08
2021,66,RISARALDA,7033.96
2021,88,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",297.77
2021,68,SANTANDER,38292.19
2021,70,SUCRE,3196.23
2021,73,TOLIMA,9965.05
2021,76,VALLE DEL CAUCA,49412.31
2021,97,VAUPÉS,67.82
2021,99,VICHADA,308.85
2022,91,AMAZONAS,247.34
2022,05,ANTIOQUIA,79877.02
2022,81,ARAUCA,3325.37
2022,08,ATLÁNTICO,20723.92
2022,11,BOGOTÁ D.C.,129544.51
2022,13,BOLÍVAR,19115.05
2022,15,BOYACÁ,13540.15
2022,17,CALDAS,7614.46
2022,18,CAQUETÁ,1583.94
2022,85,CASANARE,8455.41
2022,19,CAUCA,9208.92
2022,20,CESAR,9104.94
2022,27,CHOCÓ,1660.03
2022,25,CUNDINAMARCA,35783.12
2022,23,CÓRDOBA,7201.33
2022,94,GUAINÍA,126.93
2022,95,GUAVIARE,317.38
2022,41,HUILA,7425.46
2022,44,LA GUAJIRA,4562.34
2022,47,MAGDALENA,5242.97
2022,50,META,21498.61
2022,52,NARIÑO,6126.03
2022,54,NORTE DE SANTANDER,6805.31
2022,86,PUTUMAYO,1652.11
2022,63,QUINDÍO,3780.45
2022,66,RISARALDA,7709.89
2022,88,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",317.18
2022,68,SANTANDER,40912.89
2022,70,SUCRE,3326.25
2022,73,TOLIMA,10310.37
2022,76,VALLE DEL CAUCA,53030.34
2022,97,VAUPÉS,65.07
2022,99,VICHADA,309.27
2023,91,AMAZONAS,247.34
2023,05,ANTIOQUIA,79017.96
2023,81,ARAUCA,3269.68
2023,08,ATLÁNTICO,20771.29
2023,11,BOGOTÁ D.C.,130562.23
2023,13,BOLÍVAR,19327.32
2023,15,BOYACÁ,13511.11
2023,17,CALDAS,7586.92
2023,18,CAQUETÁ,1596.22
2023,85,CASANARE,8551.99
2023,19,CAUCA,9012.50
2023,20,CESAR,9220.29
2023,27,CHOCÓ,1696.24
2023,25,CUNDINAMARCA,35804.15
2023,23,CÓRDOBA,7276.87
2023,94,GUAINÍA,123.81
2023,95,GUAVIARE,317.10
2023,41,HUILA,7371.76
2023,44,LA GUAJIRA,4605.86
2023,47,MAGDALENA,5235.39
2023,50,META,22422.72
2023,52,NARIÑO,6080.98
2023,54,NORTE DE SANTANDER,6828.22
2023,86,PUTUMAYO,1681.40
2023,63,QUINDÍO,3777.34
2023,66,RISARALDA,7751.87
2023,88,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",323.55
2023,68,SANTANDER,41261.94
2023,70,SUCRE,3279.31
2023,73,TOLIMA,10345.28
2023,76,VALLE DEL CAUCA,53035.42
2023,97,VAUPÉS,64.13
2023,99,VICHADA,310.40
